order_id,customer_id,status
O0000106,C007204,
O0000107,C011820,Returned
O0000108,C015538,
O0000109,C013420,Cancelled
O0000110,C001423,
O0000111,C010949,Shipped
O0000112,C024152,Cancelled
O0000113,C023861,delivered
O0000114,C022690,Delivered
O0000115,C018797,Shipped
O0000116,C012646,delivered
O0000117,C008461,Shipped
O0000118,C024158,delivered
O0000119,C014618,Returned
O0000120,C001301,Shipped
O0000121,C019563,delivered
O0000122,C018306,Delivered
O0000123,C023642,delivered
O0000124,C003089,
O0000125,C009248,
O0000126,C010900,
O0000127,C022013,Returned
O0000128,C014050,Shipped
O0000129,C023098,Returned
O0000130,C010343,
O0000131,C021745,Delivered
O0000132,C004118,Returned
O0000133,C001963,delivered
O0000134,C013707,Returned
O0000135,C015203,
O0000136,C020018,Delivered
O0000137,C013605,delivered
O0000138,C008530,
O0000139,C002314,Delivered
O0000140,C005489,delivered
O0000141,C020490,delivered
O0000142,C016478,Delivered
O0000143,C005469,delivered
O0000144,C002067,Delivered
O0000145,C000687,
O0000146,C015767,delivered
O0000147,C002420,delivered
O0000148,C017189,Cancelled
O0000149,C000314,Delivered
O0000150,C024942,Delivered
O0000151,C001889,Shipped
O0000152,C001605,delivered
O0000153,C021618,Returned
O0000154,C007113,Returned
O0000155,C015706,Returned
O0000156,C016422,Delivered
O0000157,C021196,Delivered
O0000158,C011732,Shipped
O0000159,C008606,Cancelled
O0000160,C022861,delivered
O0000161,C018841,Returned
O0000162,C024192,Cancelled
O0000163,C006802,Cancelled
O0000164,C008755,
O0000165,C004876,Shipped
O0000166,C005823,Returned
O0000167,C022907,Cancelled
O0000168,C017126,
O0000169,C008527,Shipped
O0000170,C024343,
O0000171,C018836,Returned
O0000172,C024546,Returned
O0000173,C009539,
O0000174,C020808,Returned
O0000175,C024506,
O0000176,C001717,Delivered
O0000177,C004825,delivered
O0000178,C023717,Delivered
O0000179,C011086,Returned
O0000180,C003420,delivered
O0000181,C003162,Cancelled
O0000182,C005183,Shipped
O0000183,C006032,Cancelled
O0000184,C013523,Delivered
O0000185,C012042,Shipped
O0000186,C010892,
O0000187,C014726,Shipped
O0000188,C014984,Shipped
O0000189,C010816,delivered
O0000190,C013205,Cancelled
O0000191,C007479,delivered
O0000192,C011466,Shipped
O0000193,C001679,Returned
O0000194,C016433,Cancelled
O0000195,C024600,Returned
O0000196,C020863,delivered
O0000197,C008519,delivered
O0000198,C016151,Shipped
O0000199,C001114,delivered
O0000200,C017117,Returned
O0000201,C008080,Returned
O0000202,C018518,Shipped
O0000203,C010764,Cancelled
O0000204,C010848,
O0000205,C013798,Returned
O0000206,C014071,delivered
O0000207,C023929,Returned
O0000208,C004340,Cancelled
O0000209,C008068,Cancelled
O0000210,C024050,Returned
O0000211,C014143,Returned
O0000212,C003406,Delivered
O0000213,C009100,Returned
O0000214,C024141,
O0000215,C021487,Delivered
O0000216,C016275,Returned
O0000217,C018036,delivered
O0000218,C001449,Cancelled
O0000219,C024015,Shipped
O0000220,C015373,
O0000221,C008930,
O0000222,C013692,Delivered
O0000223,C016161,Shipped
O0000224,C012194,delivered
O0000225,C004604,
O0000226,C020506,Returned
O0000227,C017343,Returned
O0000228,C023202,delivered
O0000229,C014819,delivered
O0000230,C018697,
O0000231,C012462,delivered
O0000232,C017870,Shipped
O0000233,C000690,Cancelled
O0000234,C015380,Delivered
O0000235,C021797,Shipped
O0000236,C005293,
O0000237,C003562,
O0000238,C013345,Cancelled
O0000239,C019315,
O0000240,C017309,Cancelled
O0000241,C000292,
O0000242,C003271,Shipped
O0000243,C024887,Delivered
O0000244,C011497,Returned
O0000245,C008295,
O0000246,C001088,Shipped
O0000247,C011762,Cancelled
O0000248,C020060,Cancelled
O0000249,C020330,delivered
O0000250,C012469,delivered
O0000251,C022040,Shipped
O0000252,C017675,Returned
O0000253,C005247,Shipped
O0000254,C016323,delivered
O0000255,C003857,Delivered
O0000256,C017544,Returned
O0000257,C007657,
O0000258,C004498,Shipped
O0000259,C008263,Delivered
O0000260,C020161,
O0000261,C000905,
O0000262,C010443,
O0000263,C003505,
O0000264,C011560,Shipped
O0000265,C019955,Shipped
O0000266,C011628,delivered
O0000267,C001960,Returned
O0000268,C007722,delivered
O0000269,C009303,Returned
O0000270,C006550,Returned
O0000271,C002572,Returned
O0000272,C012432,delivered
O0000273,C015189,Delivered
O0000274,C017290,Returned
O0000275,C024531,Returned
O0000276,C023754,
O0000277,C020694,
O0000278,C010916,Delivered
O0000279,C007132,Shipped
O0000280,C017412,
O0000281,C006623,
O0000282,C001537,Shipped
O0000283,C007738,delivered
O0000284,C024256,
O0000285,C018616,delivered
O0000286,C012933,Shipped
O0000287,C000225,Delivered
O0000288,C000625,delivered
O0000289,C019083,Cancelled
O0000290,C014675,
O0000291,C023052,Shipped
O0000292,C012095,Cancelled
O0000293,C009428,Returned
O0000294,C003292,delivered
O0000295,C008241,Shipped
O0000296,C017339,delivered
O0000297,C006201,Delivered
O0000298,C003887,
O0000299,C017042,
O0000300,C015891,delivered
O0000301,C013260,
O0000302,C021334,Delivered
O0000303,C015926,
O0000304,C010271,Shipped
O0000305,C006623,Returned
O0000306,C024340,
O0000307,C011774,Shipped
O0000308,C020440,Cancelled
O0000309,C019853,Shipped
O0000310,C012774,Delivered
O0000311,C023178,Shipped
O0000312,C020691,Delivered
O0000313,C021938,Delivered
O0000314,C017378,Returned
O0000315,C012112,
O0000316,C018264,
O0000317,C015579,delivered
O0000318,C022082,Shipped
O0000319,C016255,Shipped
O0000320,C019110,delivered
O0000321,C008315,
O0000322,C003765,Delivered
O0000323,C001998,Cancelled
O0000324,C024380,Delivered
O0000325,C010954,Delivered
O0000326,C024556,delivered
O0000327,C018876,delivered
O0000328,C010508,Returned
O0000329,C015155,Shipped
O0000330,C007133,Delivered
O0000331,C011224,Delivered
O0000332,C004860,delivered
O0000333,C002328,delivered
O0000334,C023858,
O0000335,C024455,Delivered
O0000336,C000440,Delivered
O0000337,C011390,Delivered
O0000338,C012205,Delivered
O0000339,C015261,
O0000340,C018131,Returned
O0000341,C021813,
O0000342,C004911,Returned
O0000343,C003145,delivered
O0000344,C000451,Returned
O0000345,C008166,delivered
O0000346,C018347,Delivered
O0000347,C020417,Cancelled
O0000348,C019258,Delivered
O0000349,C024226,Shipped
O0000350,C020363,Cancelled
O0000351,C011297,Delivered
O0000352,C012890,Shipped
O0000353,C021448,Shipped
O0000354,C022543,Returned
O0000355,C019035,Shipped
O0000356,C011304,Cancelled
O0000357,C007218,Delivered
O0000358,C017764,delivered
O0000359,C024747,Shipped
O0000360,C017428,Cancelled
O0000361,C007467,
O0000362,C002109,Cancelled
O0000363,C009180,Delivered
O0000364,C024815,Shipped
O0000365,C018938,Delivered
O0000366,C010087,Returned
O0000367,C013572,
O0000368,C004129,Delivered
O0000369,C005903,Returned
O0000370,C016747,Returned
O0000371,C010421,delivered
O0000372,C024953,Delivered
O0000373,C002243,Shipped
O0000374,C013916,
O0000375,C013336,
O0000376,C024670,Shipped
O0000377,C004689,delivered
O0000378,C011949,Delivered
O0000379,C021005,Shipped
O0000380,C011384,Delivered
O0000381,C001465,Cancelled
O0000382,C000601,Returned
O0000383,C003390,Cancelled
O0000384,C021119,
O0000385,C004811,Returned
O0000386,C022322,Delivered
O0000387,C006263,delivered
O0000388,C015277,Shipped
O0000389,C009271,
O0000390,C009324,delivered
O0000391,C021105,delivered
O0000392,C008815,Delivered
O0000393,C006271,delivered
O0000394,C023493,Cancelled
O0000395,C011062,Shipped
O0000396,C015645,Returned
O0000397,C010734,Shipped
O0000398,C004046,delivered
O0000399,C015383,delivered
O0000400,C021194,Delivered
O0000401,C020552,
O0000402,C020034,Cancelled
O0000403,C009605,Cancelled
O0000404,C020091,Returned
O0000405,C003717,Shipped
O0000406,C009095,Cancelled
O0000407,C017317,Shipped
O0000408,C020901,Cancelled
O0000409,C016900,Returned
O0000410,C024552,Returned
O0000411,C007243,
O0000412,C002371,Delivered
O0000413,C012504,Shipped
O0000414,C011196,
O0000415,C000462,Delivered
O0000416,C000698,delivered
O0000417,C011709,Delivered
O0000418,C023082,Delivered
O0000419,C022819,delivered
O0000420,C018070,Shipped
O0000421,C004343,Delivered
O0000422,C016389,Shipped
O0000423,C014012,Delivered
O0000424,C011484,
O0000425,C002032,Shipped
O0000426,C002630,Delivered
O0000427,C012346,Cancelled
O0000428,C013736,
O0000429,C003260,Cancelled
O0000430,C018590,Shipped
O0000431,C017592,Delivered
O0000432,C008114,Returned
O0000433,C023757,Shipped
O0000434,C009943,
O0000435,C017765,delivered
O0000436,C021645,
O0000437,C014217,
O0000438,C007822,delivered
O0000439,C001455,Returned
O0000440,C010038,Cancelled
O0000441,C007474,
O0000442,C007369,Shipped
O0000443,C016894,Cancelled
O0000444,C006487,Delivered
O0000445,C003153,Shipped
O0000446,C004373,Cancelled
O0000447,C004843,
O0000448,C009616,Cancelled
O0000449,C008951,Returned
O0000450,C005812,
O0000451,C011047,Returned
O0000452,C015104,Cancelled
O0000453,C022287,Returned
O0000454,C008411,Shipped
O0000455,C003317,
O0000456,C007524,Shipped
O0000457,C001861,delivered
O0000458,C024717,Delivered
O0000459,C003835,
O0000460,C021579,Delivered
O0000461,C008862,Delivered
O0000462,C015151,
O0000463,C024782,Shipped
O0000464,C019947,delivered
O0000465,C007403,
O0000466,C010267,Returned
O0000467,C016465,Cancelled
O0000468,C005432,Delivered
O0000469,C009754,Shipped
O0000470,C006936,delivered
O0000471,C021361,
O0000472,C021175,Returned
O0000473,C021380,
O0000474,C012646,Cancelled
O0000475,C006814,Delivered
O0000476,C016663,delivered
O0000477,C024481,Cancelled
O0000478,C010648,delivered
O0000479,C013590,
O0000480,C007294,Shipped
O0000481,C020943,Delivered
O0000482,C008393,delivered
O0000483,C024241,Cancelled
O0000484,C015946,Cancelled
O0000485,C023835,Cancelled
O0000486,C018108,delivered
O0000487,C012901,Returned
O0000488,C011465,Returned
O0000489,C022885,delivered
O0000490,C008893,
O0000491,C023027,Delivered
O0000492,C006238,Cancelled
O0000493,C019868,Cancelled
O0000494,C002597,Cancelled
O0000495,C002618,delivered
O0000496,C000536,Shipped
O0000497,C017252,Returned
O0000498,C012496,Returned
O0000499,C018860,Returned
O0000500,C019901,
O0000501,C015353,
O0000502,C022662,
O0000503,C001787,Delivered
O0000504,C005136,Returned
O0000505,C000496,
O0000506,C001943,Returned
O0000507,C002786,delivered
O0000508,C020933,
O0000509,C021939,delivered
O0000510,C021363,
O0000511,C007797,
O0000512,C009954,Shipped
O0000513,C018023,Cancelled
O0000514,C016764,Delivered
O0000515,C004259,Delivered
O0000516,C020575,Shipped
O0000517,C006633,Delivered
O0000518,C018167,Returned
O0000519,C019907,
O0000520,C008907,Delivered
O0000521,C022749,delivered
O0000522,C018517,Cancelled
O0000523,C024982,Returned
O0000524,C016741,
O0000525,C023333,delivered
O0000526,C021908,Returned
O0000527,C008084,Cancelled
O0000528,C001563,Returned
O0000529,C011155,Delivered
O0000530,C023384,Returned
O0000531,C005593,Returned
O0000532,C020401,
O0000533,C023499,Cancelled
O0000534,C006813,delivered
O0000535,C016808,delivered
O0000536,C000158,delivered
O0000537,C004439,Delivered
O0000538,C005183,delivered
O0000539,C010362,Delivered
O0000540,C013692,Returned
O0000541,C019994,
O0000542,C018321,Shipped
O0000543,C020512,Cancelled
O0000544,C001458,Cancelled
O0000545,C012967,Returned
O0000546,C006089,Delivered
O0000547,C015560,delivered
O0000548,C022630,delivered
O0000549,C017736,Delivered
O0000550,C010474,Shipped
O0000551,C019779,delivered
O0000552,C003090,Returned
O0000553,C001088,Delivered
O0000554,C002674,
O0000555,C006123,delivered
O0000556,C015986,Returned
O0000557,C014741,Returned
O0000558,C012712,delivered
O0000559,C015803,Delivered
O0000560,C003154,
O0000561,C022030,Delivered
O0000562,C018059,Delivered
O0000563,C017236,delivered
O0000564,C024062,Shipped
O0000565,C013447,Delivered
O0000566,C015465,delivered
O0000567,C021043,Cancelled
O0000568,C022703,Cancelled
O0000569,C023155,Returned
O0000570,C005902,
O0000571,C014028,Cancelled
O0000572,C021236,Returned
O0000573,C002685,Cancelled
O0000574,C005018,
O0000575,C023707,Delivered
O0000576,C021851,delivered
O0000577,C024287,Returned
O0000578,C004767,Delivered
O0000579,C002901,Shipped
O0000580,C001699,Cancelled
O0000581,C011563,delivered
O0000582,C014747,Returned
O0000583,C003488,Returned
O0000584,C019149,Delivered
O0000585,C018631,Returned
O0000586,C001648,Returned
O0000587,C000345,Returned
O0000588,C023451,Cancelled
O0000589,C008332,Returned
O0000590,C017508,Delivered
O0000591,C010470,Cancelled
O0000592,C010733,Returned
O0000593,C006940,
O0000594,C010706,Returned
O0000595,C012411,
O0000596,C002575,Shipped
O0000597,C017330,
O0000598,C006840,Delivered
O0000599,C013877,Delivered
O0000600,C024785,Cancelled
O0000601,C011752,Delivered
O0000602,C001438,Returned
O0000603,C024018,delivered
O0000604,C018879,Shipped
O0000605,C010148,
O0000606,C010565,Returned
O0000607,C016154,Delivered
O0000608,C000330,Shipped
O0000609,C006429,Cancelled
O0000610,C020295,Shipped
O0000611,C012743,Cancelled
O0000612,C004278,delivered
O0000613,C020667,Delivered
O0000614,C007883,Delivered
O0000615,C014596,Returned
O0000616,C015067,Returned
O0000617,C024953,Delivered
O0000618,C014173,
O0000619,C014234,Cancelled
O0000620,C012637,Returned
O0000621,C013266,Returned
O0000622,C019787,Shipped
O0000623,C022146,Delivered
O0000624,C021339,Cancelled
O0000625,C018592,Returned
O0000626,C003941,Returned
O0000627,C004866,delivered
O0000628,C014193,Delivered
O0000629,C008533,
O0000630,C022955,
O0000631,C018757,Delivered
O0000632,C018504,Cancelled
O0000633,C010414,delivered
O0000634,C012908,Cancelled
O0000635,C004609,Shipped
O0000636,C012830,Shipped
O0000637,C008557,delivered
O0000638,C005679,Cancelled
O0000639,C003910,
O0000640,C002847,Returned
O0000641,C023839,Cancelled
O0000642,C018572,Shipped
O0000643,C000902,Delivered
O0000644,C016137,
O0000645,C012283,Shipped
O0000646,C011920,delivered
O0000647,C019389,Shipped
O0000648,C024790,Shipped
O0000649,C000221,Cancelled
O0000650,C022569,
O0000651,C014598,Returned
O0000652,C023630,
O0000653,C000483,delivered
O0000654,C000897,delivered
O0000655,C019498,delivered
O0000656,C005226,Shipped
O0000657,C005124,
O0000658,C002725,delivered
O0000659,C010451,
O0000660,C005518,Returned
O0000661,C009565,delivered
O0000662,C006862,Returned
O0000663,C002476,Shipped
O0000664,C009339,
O0000665,C013191,Delivered
O0000666,C015791,delivered
O0000667,C001587,Shipped
O0000668,C001243,Delivered
O0000669,C020962,Cancelled
O0000670,C009299,Returned
O0000671,C018524,Delivered
O0000672,C021896,Delivered
O0000673,C008855,Shipped
O0000674,C001091,Cancelled
O0000675,C011964,Returned
O0000676,C020485,Delivered
O0000677,C012770,
O0000678,C011811,
O0000679,C017174,Delivered
O0000680,C014123,delivered
O0000681,C012014,Returned
O0000682,C011801,
O0000683,C017479,delivered
O0000684,C004607,Cancelled
O0000685,C013466,Cancelled
O0000686,C008563,Cancelled
O0000687,C019137,Returned
O0000688,C020852,
O0000689,C019823,Cancelled
O0000690,C013401,Cancelled
O0000691,C010468,Delivered
O0000692,C004840,Cancelled
O0000693,C005828,Shipped
O0000694,C017683,Delivered
O0000695,C015776,Returned
O0000696,C010231,Shipped
O0000697,C014408,Cancelled
O0000698,C017069,Returned
O0000699,C021273,Cancelled
O0000700,C000346,Returned
O0000701,C014216,delivered
O0000702,C007354,Cancelled
O0000703,C004480,Shipped
O0000704,C018855,delivered
O0000705,C009422,Delivered
O0000706,C012747,Shipped
O0000707,C013232,Delivered
O0000708,C005422,
O0000709,C021809,
O0000710,C009643,Delivered
O0000711,C011774,Delivered
O0000712,C001053,Delivered
O0000713,C003774,
O0000714,C002961,Shipped
O0000715,C003730,delivered
O0000716,C000606,Cancelled
O0000717,C019678,Cancelled
O0000718,C013367,Cancelled
O0000719,C005139,Cancelled
O0000720,C005319,delivered
O0000721,C024343,Delivered
O0000722,C007908,Shipped
O0000723,C003938,Returned
O0000724,C021142,
O0000725,C017291,
O0000726,C014146,Shipped
O0000727,C021331,Delivered
O0000728,C008962,Returned
O0000729,C013835,delivered
O0000730,C009224,delivered
O0000731,C021926,Cancelled
O0000732,C022836,
O0000733,C001662,delivered
O0000734,C014169,Returned
O0000735,C016258,delivered
O0000736,C021540,
O0000737,C002262,Cancelled
O0000738,C011896,delivered
O0000739,C014384,delivered
O0000740,C022716,Shipped
O0000741,C021664,delivered
O0000742,C009424,Delivered
O0000743,C015318,
O0000744,C022477,Delivered
O0000745,C012732,delivered
O0000746,C020314,
O0000747,C007614,Delivered
O0000748,C014221,Returned
O0000749,C004995,Returned
O0000750,C023165,Cancelled
O0000751,C007883,delivered
O0000752,C011602,Returned
O0000753,C009651,
O0000754,C000180,Cancelled
O0000755,C005922,Delivered
O0000756,C023917,Returned
O0000757,C010956,delivered
O0000758,C016199,Shipped
O0000759,C017427,Shipped
O0000760,C017956,Delivered
O0000761,C022325,Delivered
O0000762,C009131,Returned
O0000763,C012055,
O0000764,C023764,delivered
O0000765,C023086,
O0000766,C022737,Delivered
O0000767,C018692,Shipped
O0000768,C008631,Cancelled
O0000769,C019071,
O0000770,C015004,Returned
O0000771,C006083,Shipped
O0000772,C000909,
O0000773,C012435,Returned
O0000774,C016756,Cancelled
O0000775,C019015,
O0000776,C005823,Cancelled
O0000777,C003454,delivered
O0000778,C007601,Delivered
O0000779,C003297,Delivered
O0000780,C024469,
O0000781,C003764,
O0000782,C002090,Shipped
O0000783,C003578,Delivered
O0000784,C014422,Cancelled
O0000785,C023295,delivered
O0000786,C003061,Delivered
O0000787,C006372,Delivered
O0000788,C023818,Returned
O0000789,C014989,Delivered
O0000790,C019935,Shipped
O0000791,C013354,Cancelled
O0000792,C020967,Cancelled
O0000793,C000897,Cancelled
O0000794,C014567,Cancelled
O0000795,C005860,Returned
O0000796,C007005,Returned
O0000797,C003414,Delivered
O0000798,C007764,Delivered
O0000799,C023844,Returned
O0000800,C015084,Shipped
O0000801,C003181,Cancelled
O0000802,C004152,
O0000803,C011144,Cancelled
O0000804,C000571,Shipped
O0000805,C019883,delivered
O0000806,C006705,Returned
O0000807,C010376,delivered
O0000808,C008982,Cancelled
O0000809,C007258,Cancelled
O0000810,C018780,Returned
O0000811,C018983,Returned
O0000812,C006874,Delivered
O0000813,C012336,Returned
O0000814,C021335,
O0000815,C013541,Delivered
O0000816,C019799,
O0000817,C015751,
O0000818,C004714,Shipped
O0000819,C023613,
O0000820,C010642,Cancelled
O0000821,C011513,Returned
O0000822,C007264,Returned
O0000823,C007300,Cancelled
O0000824,C015613,Returned
O0000825,C000523,Delivered
O0000826,C001829,Returned
O0000827,C011511,Returned
O0000828,C008519,Shipped
O0000829,C023359,Shipped
O0000830,C021678,delivered
O0000831,C024128,Returned
O0000832,C014292,
O0000833,C001898,Delivered
O0000834,C005117,delivered
O0000835,C011532,
O0000836,C020953,Delivered
O0000837,C008888,delivered
O0000838,C007077,Returned
O0000839,C016896,
O0000840,C013841,
O0000841,C020704,Shipped
O0000842,C003878,
O0000843,C007446,Cancelled
O0000844,C018126,Delivered
O0000845,C022194,Cancelled
O0000846,C011941,Shipped
O0000847,C004921,delivered
O0000848,C013302,
O0000849,C010274,delivered
O0000850,C010122,Delivered
O0000851,C022463,
O0000852,C020528,
O0000853,C010465,delivered
O0000854,C012989,Shipped
O0000855,C012644,Delivered
O0000856,C006040,Shipped
O0000857,C024613,
O0000858,C021908,delivered
O0000859,C016840,Delivered
O0000860,C015812,Shipped
O0000861,C004518,delivered
O0000862,C009770,delivered
O0000863,C010981,
O0000864,C005752,Shipped
O0000865,C009584,Returned
O0000866,C004648,
O0000867,C024201,
O0000868,C024353,Returned
O0000869,C009449,Cancelled
O0000870,C024523,
O0000871,C014852,
O0000872,C006044,
O0000873,C002573,Shipped
O0000874,C004199,Delivered
O0000875,C003746,Cancelled
O0000876,C012510,Delivered
O0000877,C008445,Returned
O0000878,C015035,Returned
O0000879,C010246,delivered
O0000880,C004379,Shipped
O0000881,C002644,Cancelled
O0000882,C014840,Returned
O0000883,C009186,Shipped
O0000884,C004407,delivered
O0000885,C022829,Delivered
O0000886,C005612,Delivered
O0000887,C022120,
O0000888,C016717,Returned
O0000889,C007424,Shipped
O0000890,C017544,Cancelled
O0000891,C022303,Shipped
O0000892,C018764,Delivered
O0000893,C008464,Cancelled
O0000894,C011945,delivered
O0000895,C010823,Returned
O0000896,C003321,Cancelled
O0000897,C017813,delivered
O0000898,C008838,Returned
O0000899,C019131,Returned
O0000900,C013495,Cancelled
O0000901,C022325,
O0000902,C008528,Returned
O0000903,C006527,Cancelled
O0000904,C014759,Returned
O0000905,C021517,Returned
O0000906,C022860,Returned
O0000907,C024348,Cancelled
O0000908,C005913,Returned
O0000909,C001006,Delivered
O0000910,C010678,Returned
O0000911,C011324,Delivered
O0000912,C002815,Cancelled
O0000913,C007172,Shipped
O0000914,C024907,Returned
O0000915,C002319,Shipped
O0000916,C007700,delivered
O0000917,C021220,delivered
O0000918,C024271,delivered
O0000919,C012590,delivered
O0000920,C018541,Delivered
O0000921,C014600,Delivered
O0000922,C020616,Delivered
O0000923,C019978,Shipped
O0000924,C005206,
O0000925,C007096,Returned
O0000926,C018664,Returned
O0000927,C006530,Delivered
O0000928,C010554,
O0000929,C022385,delivered
O0000930,C014842,Delivered
O0000931,C001380,Shipped
O0000932,C013919,Delivered
O0000933,C001563,
O0000934,C002305,Delivered
O0000935,C024714,
O0000936,C003939,delivered
O0000937,C024494,delivered
O0000938,C019097,Returned
O0000939,C002886,Shipped
O0000940,C014130,Cancelled
O0000941,C006931,Returned
O0000942,C014920,Cancelled
O0000943,C021254,Cancelled
O0000944,C015593,Delivered
O0000945,C022296,Returned
O0000946,C017247,Cancelled
O0000947,C007912,delivered
O0000948,C009527,Cancelled
O0000949,C017057,
O0000950,C013363,delivered
O0000951,C000089,
O0000952,C024415,Returned
O0000953,C013422,Cancelled
O0000954,C002665,
O0000955,C005454,Delivered
O0000956,C008273,delivered
O0000957,C004870,Delivered
O0000958,C024901,Delivered
O0000959,C006443,Delivered
O0000960,C014119,delivered
O0000961,C009137,Cancelled
O0000962,C019681,Cancelled
O0000963,C002293,Cancelled
O0000964,C000010,Cancelled
O0000965,C010407,Returned
O0000966,C016128,Cancelled
O0000967,C019754,Delivered
O0000968,C019594,
O0000969,C018664,Delivered
O0000970,C015084,
O0000971,C020916,Shipped
O0000972,C018936,Shipped
O0000973,C004447,Delivered
O0000974,C016728,Cancelled
O0000975,C003541,Shipped
O0000976,C003425,Cancelled
O0000977,C006174,
O0000978,C000769,Shipped
O0000979,C002972,Returned
O0000980,C018188,Cancelled
O0000981,C021110,
O0000982,C010569,Delivered
O0000983,C020438,Shipped
O0000984,C002172,Returned
O0000985,C008323,Cancelled
O0000986,C024912,Returned
O0000987,C002404,Shipped
O0000988,C018585,Delivered
O0000989,C010660,Cancelled
O0000990,C019165,
O0000991,C022913,
O0000992,C003581,
O0000993,C018930,Cancelled
O0000994,C015110,Shipped
O0000995,C008397,delivered
O0000996,C009777,Returned
O0000997,C016983,delivered
O0000998,C010913,Returned
O0000999,C007027,Delivered
O0001000,C009413,Delivered
O0001001,C023289,Cancelled
O0001002,C000740,Cancelled
O0001003,C002655,delivered
O0001004,C016098,Delivered
O0001005,C019563,delivered
O0001006,C012183,Shipped
O0001007,C015506,Shipped
O0001008,C021463,
O0001009,C011853,Delivered
O0001010,C001808,Shipped
O0001011,C002905,Cancelled
O0001012,C008398,Delivered
O0001013,C019142,Delivered
O0001014,C011154,Delivered
O0001015,C000159,Delivered
O0001016,C007881,
O0001017,C013555,Returned
O0001018,C021730,
O0001019,C018076,Returned
O0001020,C008294,delivered
O0001021,C021168,delivered
O0001022,C020716,Cancelled
O0001023,C009668,Cancelled
O0001024,C016313,
O0001025,C021259,delivered
O0001026,C023162,Returned
O0001027,C024099,Returned
O0001028,C001472,
O0001029,C019678,Returned
O0001030,C011033,
O0001031,C004894,Shipped
O0001032,C010477,Delivered
O0001033,C012264,Shipped
O0001034,C023987,Returned
O0001035,C001212,Shipped
O0001036,C019959,Delivered
O0001037,C006252,Returned
O0001038,C001100,Delivered
O0001039,C014910,Returned
O0001040,C018499,Shipped
O0001041,C010347,Shipped
O0001042,C011463,Delivered
O0001043,C019509,Returned
O0001044,C004920,
O0001045,C017660,Shipped
O0001046,C013985,
O0001047,C015863,Cancelled
O0001048,C008185,
O0001049,C012257,Shipped
O0001050,C002203,Delivered
O0001051,C003341,
O0001052,C003724,Delivered
O0001053,C009886,Delivered
O0001054,C020194,
O0001055,C021961,Returned
O0001056,C024556,Cancelled
O0001057,C000781,Cancelled
O0001058,C005262,Delivered
O0001059,C009486,Cancelled
O0001060,C015036,Cancelled
O0001061,C012076,Returned
O0001062,C005824,Returned
O0001063,C005602,Returned
O0001064,C024399,Shipped
O0001065,C012034,
O0001066,C002654,Delivered
