payment_id,order_id,payment_method,amount
PAY0000231,O0028348,NetBanking,14076.92
PAY0000232,O0034302,Card,9932.13
PAY0000233,O0066546,UPI,10966.4
PAY0000234,O0074296,UPI,16768.75
PAY0000235,O0039542,UPI,5058.19
PAY0000236,O0066880,COD,5699.34
PAY0000237,O0008646,NetBanking,4564.56
PAY0000238,O0063473,Unknown,3838.66
PAY0000239,O0062374,Unknown,9357.49
PAY0000240,O0083887,Unknown,21156.93
PAY0000241,O0014792,UPI,4878.62
PAY0000242,O0033924,Card,17427.12
PAY0000243,O0070462,NetBanking,22867.98
PAY0000244,O0001231,Card,18108.82
PAY0000245,O0058097,UPI,2328.95
PAY0000246,O0037047,NetBanking,22106.47
PAY0000247,O0099083,UPI,3198.41
PAY0000248,O0010542,UPI,1374.67
PAY0000249,O0031496,Card,18836.41
PAY0000250,O0030826,NetBanking,21929.76
PAY0000251,O0017979,UPI,5122.23
PAY0000252,O0057479,Unknown,22024.25
PAY0000253,O0021983,Card,9022.99
PAY0000254,O0063044,UPI,350.79
PAY0000255,O0099582,UPI,24838.93
PAY0000256,O0098628,UPI,854.6
PAY0000257,O0043697,UPI,13669.95
PAY0000258,O0041969,Unknown,18007.92
PAY0000259,O0085842,NetBanking,6656.78
PAY0000260,O0015777,NetBanking,20903.33
PAY0000261,O0043156,Unknown,21341.18
PAY0000262,O0013233,COD,20886.25
PAY0000263,O0016857,Unknown,471.98
PAY0000264,O0020212,UPI,9303.68
PAY0000265,O0069550,UPI,1470.7
PAY0000266,O0040798,UPI,11375.63
PAY0000267,O0074575,UPI,9529.99
PAY0000268,O0070055,UPI,11224.38
PAY0000269,O0054615,UPI,17665.66
PAY0000270,O0014890,UPI,2531.88
PAY0000271,O0026064,UPI,3327.27
PAY0000272,O0061805,Card,11889.92
PAY0000273,O0037420,UPI,623.41
PAY0000274,O0050674,NetBanking,6182.88
PAY0000275,O0051638,UPI,6112.17
PAY0000276,O0084766,UPI,6301.03
PAY0000277,O0020018,COD,12341.44
PAY0000278,O0085038,UPI,1434.77
PAY0000279,O0041606,UPI,4982.51
PAY0000280,O0024096,COD,5755.16
PAY0000281,O0058585,Unknown,11166.68
PAY0000282,O0023232,Unknown,11875.03
PAY0000283,O0045294,UPI,7367.04
PAY0000284,O0006331,Unknown,10536.91
PAY0000285,O0049660,UPI,11532.86
PAY0000286,O0022743,UPI,24311.09
PAY0000287,O0097898,UPI,1661.74
PAY0000288,O0008277,NetBanking,14133.18
PAY0000289,O0063482,NetBanking,12486.83
PAY0000290,O0046972,UPI,8752.04
PAY0000291,O0035105,UPI,7298.12
PAY0000292,O0087579,UPI,9073.82
PAY0000293,O0016250,NetBanking,16241.59
PAY0000294,O0097847,UPI,19939.5
PAY0000296,O0017864,Unknown,22514.63
PAY0000297,O0052890,Unknown,20078.57
PAY0000298,O0099082,UPI,11812.69
PAY0000299,O0044684,Unknown,11872.67
PAY0000300,O0016543,NetBanking,17086.91
PAY0000301,O0006888,UPI,20260.79
PAY0000302,O0038499,NetBanking,14256.87
PAY0000303,O0062177,COD,975.92
PAY0000304,O0074093,Unknown,19057.61
PAY0000305,O0012514,UPI,21101.44
PAY0000307,O0073896,Unknown,13955.59
PAY0000308,O0084203,COD,991.68
PAY0000309,O0021517,COD,6938.79
PAY0000310,O0063764,Card,1764.15
PAY0000311,O0061355,NetBanking,2284.89
PAY0000312,O0009227,COD,13774.04
PAY0000313,O0097103,UPI,13694.2
PAY0000314,O0088437,COD,8168.24
PAY0000315,O0098053,UPI,3308.05
PAY0000316,O0050335,COD,20321.68
PAY0000317,O0099447,Unknown,13531.37
PAY0000318,O0008445,UPI,17390.55
PAY0000319,O0013153,UPI,7251.19
PAY0000320,O0001280,Card,10506.63
PAY0000321,O0021320,UPI,8356.88
PAY0000322,O0002124,Card,22616.62
PAY0000323,O0099039,UPI,16281.8
PAY0000324,O0019024,Card,7611.55
PAY0000325,O0075069,COD,10111.58
PAY0000326,O0079622,Unknown,12800.84
PAY0000327,O0050422,Unknown,5925.57
PAY0000328,O0080985,Card,15303.87
PAY0000329,O0091401,Unknown,5654.44
PAY0000330,O0047945,Card,1996.69
PAY0000331,O0086797,Unknown,23324.53
PAY0000332,O0037607,UPI,15011.58
PAY0000333,O0013387,Card,17033.39
PAY0000334,O0082159,UPI,9950.86
PAY0000335,O0045606,COD,9288.16
PAY0000336,O0058638,UPI,2810.28
PAY0000337,O0027723,Card,20909.96
PAY0000338,O0017550,UPI,18967.26
PAY0000339,O0071979,NetBanking,17950.31
PAY0000340,O0034279,Unknown,13533.06
PAY0000341,O0007426,COD,6161.88
PAY0000342,O0086492,COD,11617.25
PAY0000343,O0088887,Card,24896.06
PAY0000344,O0082867,Unknown,18868.51
PAY0000345,O0083468,Card,10870.15
PAY0000346,O0033321,UPI,13091.63
PAY0000347,O0079148,NetBanking,18787.19
PAY0000348,O0044176,Card,7967.7
PAY0000349,O0034437,UPI,5721.95
PAY0000350,O0025108,UPI,20221.93
PAY0000351,O0024059,Unknown,23852.21
PAY0000352,O0085384,Unknown,16873.18
PAY0000353,O0097349,UPI,8701.57
PAY0000354,O0082099,UPI,3749.79
PAY0000355,O0067599,UPI,3340.63
PAY0000356,O0061934,Unknown,2763.87
PAY0000357,O0019869,Card,7408.82
PAY0000358,O0041265,Card,9251.13
PAY0000359,O0004539,NetBanking,9953.76
PAY0000360,O0068641,UPI,21483.9
PAY0000361,O0043086,NetBanking,13045.97
PAY0000362,O0091743,Card,3457.39
PAY0000363,O0033061,UPI,2398.59
PAY0000364,O0088940,Card,15455.57
PAY0000365,O0001831,Card,15717.57
PAY0000366,O0012980,UPI,16691.7
PAY0000367,O0052834,NetBanking,15962.84
PAY0000368,O0060096,UPI,4883.39
PAY0000369,O0077036,Unknown,1611.59
PAY0000370,O0043421,COD,19749.71
PAY0000371,O0093964,NetBanking,22918.36
PAY0000372,O0015997,Card,3349.64
PAY0000373,O0093010,Unknown,24227.45
PAY0000374,O0091871,NetBanking,18475.01
PAY0000375,O0019511,NetBanking,594.82
PAY0000376,O0043582,UPI,22241.9
PAY0000377,O0027416,NetBanking,6412.74
PAY0000378,O0009217,Unknown,12053.09
PAY0000379,O0009435,NetBanking,14704.07
PAY0000380,O0079195,UPI,9552.08
PAY0000381,O0046544,UPI,798.01
PAY0000382,O0015320,UPI,6900.54
PAY0000383,O0089654,UPI,3441.36
PAY0000384,O0097609,Card,3876.95
PAY0000385,O0048580,UPI,9016.78
PAY0000386,O0022527,NetBanking,1749.54
PAY0000387,O0071554,UPI,15927.12
PAY0000388,O0038869,Card,14004.17
PAY0000389,O0042288,NetBanking,21017.18
PAY0000390,O0043264,UPI,1079.39
PAY0000391,O0028074,NetBanking,19079.53
PAY0000392,O0072341,Unknown,2650.37
PAY0000393,O0093019,Unknown,24102.17
PAY0000394,O0041343,Card,16450.62
PAY0000395,O0052825,COD,13478.86
PAY0000396,O0066841,UPI,14362.87
PAY0000397,O0076020,UPI,19802.27
PAY0000398,O0017412,Card,5156.14
PAY0000399,O0020360,UPI,14056.41
PAY0000400,O0094368,Unknown,8839.23
PAY0000401,O0061559,Card,15369.88
PAY0000402,O0032356,COD,2100.37
PAY0000403,O0025222,UPI,11903.85
PAY0000404,O0049505,NetBanking,5884.06
PAY0000405,O0018431,NetBanking,6865.68
PAY0000406,O0053523,Card,13526.76
PAY0000407,O0073668,Card,10453.25
PAY0000408,O0033120,Card,13571.57
PAY0000409,O0046750,COD,19611.05
PAY0000410,O0015382,UPI,17706.26
PAY0000411,O0013703,UPI,3210.68
PAY0000412,O0084901,NetBanking,10105.03
PAY0000413,O0019045,Card,15787.15
PAY0000414,O0016735,UPI,24190.21
PAY0000415,O0091941,UPI,2755.51
PAY0000416,O0061034,Unknown,22944.61
PAY0000417,O0038631,UPI,24358.66
PAY0000418,O0096207,Unknown,7041.64
PAY0000419,O0024537,UPI,4471.69
PAY0000420,O0035407,UPI,4703.5
PAY0000421,O0097350,Unknown,14612.24
PAY0000422,O0003788,Card,11650.75
PAY0000423,O0036055,Card,2992.75
PAY0000424,O0061958,Unknown,12582.08
PAY0000425,O0081802,UPI,15927.58
PAY0000426,O0035546,Card,18949.34
PAY0000427,O0018190,UPI,17651.35
PAY0000428,O0014694,COD,10241.89
PAY0000429,O0097315,NetBanking,19814.12
PAY0000430,O0021729,Unknown,11037.66
PAY0000431,O0065223,Unknown,6376.48
PAY0000432,O0044140,Card,24004.0
PAY0000433,O0081618,Card,1668.45
PAY0000434,O0095135,UPI,22609.48
PAY0000435,O0075311,Card,492.04
PAY0000436,O0084702,UPI,7174.61
PAY0000437,O0014776,UPI,23547.34
PAY0000438,O0010084,Unknown,9169.43
PAY0000439,O0030375,UPI,20758.55
PAY0000440,O0061035,COD,5268.52
PAY0000441,O0023431,Card,3689.18
PAY0000442,O0052493,Unknown,939.03
PAY0000443,O0010819,Unknown,22100.47
PAY0000444,O0084492,Unknown,18622.89
PAY0000445,O0058883,NetBanking,20534.5
PAY0000446,O0037515,UPI,8777.06
PAY0000447,O0062697,UPI,8355.34
PAY0000448,O0048809,Card,8356.61
PAY0000449,O0098526,UPI,1067.65
PAY0000450,O0045905,COD,4417.08
PAY0000451,O0051848,UPI,24533.9
PAY0000452,O0086414,COD,805.12
PAY0000453,O0072898,Card,22952.62
PAY0000454,O0021142,NetBanking,14799.33
PAY0000455,O0059230,NetBanking,8046.85
PAY0000456,O0089576,COD,12440.16
PAY0000457,O0067675,UPI,2167.91
PAY0000458,O0070672,COD,5785.1
PAY0000459,O0051680,Unknown,9829.85
PAY0000460,O0053040,NetBanking,7185.58
PAY0000461,O0030274,NetBanking,24938.11
PAY0000462,O0005273,UPI,19678.01
PAY0000463,O0094678,UPI,15886.28
PAY0000464,O0035783,COD,15412.37
PAY0000465,O0094553,UPI,8471.46
PAY0000466,O0007039,COD,20963.83
PAY0000467,O0015888,Unknown,10359.66
PAY0000468,O0099001,COD,7437.11
PAY0000469,O0098599,NetBanking,16980.3
PAY0000470,O0059967,Unknown,9600.17
PAY0000471,O0037367,NetBanking,13064.96
PAY0000472,O0089250,Unknown,7293.91
PAY0000473,O0083925,Card,17337.63
PAY0000474,O0079942,UPI,4953.72
PAY0000475,O0008808,UPI,20812.78
PAY0000476,O0030120,UPI,20774.73
PAY0000477,O0091816,Unknown,16002.0
PAY0000478,O0025532,Unknown,10681.45
PAY0000479,O0022454,COD,18440.6
PAY0000480,O0089691,COD,2978.05
PAY0000481,O0029562,COD,2274.85
PAY0000482,O0032081,UPI,7910.92
PAY0000483,O0055511,Card,19974.26
PAY0000484,O0022152,NetBanking,11307.69
PAY0000485,O0088172,COD,14010.29
PAY0000486,O0034071,COD,24061.57
PAY0000487,O0088906,Card,8871.75
PAY0000488,O0024274,COD,12659.87
PAY0000489,O0090768,Unknown,7411.25
PAY0000490,O0022638,COD,13808.69
PAY0000491,O0032043,Card,14216.75
PAY0000492,O0076201,UPI,19646.89
PAY0000493,O0057602,UPI,1219.86
PAY0000494,O0092138,NetBanking,7300.26
PAY0000495,O0084422,Unknown,19229.2
PAY0000496,O0065734,UPI,11825.14
PAY0000497,O0090112,Card,154.29
PAY0000498,O0020187,NetBanking,7503.59
PAY0000499,O0001696,NetBanking,19837.66
PAY0000500,O0031260,Unknown,12612.23
PAY0000501,O0061831,NetBanking,8765.81
PAY0000502,O0002959,UPI,15244.37
PAY0000503,O0084700,Card,1653.15
PAY0000504,O0080933,UPI,-39.45
PAY0000505,O0096693,NetBanking,18439.87
PAY0000506,O0050044,COD,2570.71
PAY0000507,O0018436,Unknown,20736.66
PAY0000508,O0072811,UPI,15496.8
PAY0000509,O0063364,Unknown,61.64
PAY0000510,O0061413,NetBanking,12976.71
PAY0000511,O0035155,UPI,19789.6
PAY0000512,O0021530,UPI,19082.83
PAY0000513,O0025731,Card,17967.11
PAY0000514,O0066928,COD,10156.37
PAY0000515,O0053447,UPI,20247.2
PAY0000516,O0084790,Card,5822.88
PAY0000517,O0021077,UPI,23533.49
PAY0000518,O0025739,Unknown,17870.94
PAY0000519,O0024664,UPI,17233.52
PAY0000520,O0091048,Unknown,15890.77
PAY0000521,O0061027,NetBanking,7368.66
PAY0000522,O0003645,UPI,2433.46
PAY0000523,O0036327,UPI,17176.18
PAY0000524,O0020911,UPI,16655.68
PAY0000525,O0010993,Unknown,1502.18
PAY0000526,O0004810,NetBanking,20069.56
PAY0000527,O0090604,UPI,15904.66
PAY0000528,O0018806,COD,17980.6
PAY0000529,O0060241,COD,7231.0
PAY0000530,O0056377,UPI,16254.3
PAY0000531,O0051785,NetBanking,12168.1
PAY0000532,O0035660,Card,17525.64
PAY0000533,O0078824,UPI,1322.49
PAY0000534,O0020883,Unknown,17757.14
PAY0000535,O0098258,UPI,6334.32
PAY0000536,O0010392,COD,18750.58
PAY0000537,O0042201,NetBanking,3957.13
PAY0000538,O0087257,NetBanking,15463.82
PAY0000539,O0062299,Unknown,17297.35
PAY0000540,O0003221,UPI,14272.18
PAY0000541,O0053491,COD,7798.06
PAY0000542,O0016951,Card,17054.17
PAY0000543,O0001636,UPI,20196.9
PAY0000544,O0028924,NetBanking,24632.2
PAY0000545,O0047124,Unknown,23045.62
PAY0000546,O0090767,UPI,17296.22
PAY0000547,O0071038,Unknown,6916.31
PAY0000548,O0008698,NetBanking,19395.55
PAY0000549,O0086187,NetBanking,13306.34
PAY0000550,O0087246,COD,24163.15
PAY0000551,O0054887,UPI,2389.87
PAY0000552,O0045310,Card,12257.34
PAY0000553,O0046846,COD,773.7
PAY0000554,O0013324,Card,6184.01
PAY0000555,O0028209,NetBanking,18983.04
PAY0000556,O0068879,Unknown,1116.52
PAY0000557,O0022156,NetBanking,19475.48
PAY0000558,O0060440,UPI,13759.52
PAY0000559,O0003835,UPI,17929.83
PAY0000560,O0053254,COD,15337.83
PAY0000561,O0004721,Unknown,13827.76
PAY0000562,O0052519,Card,8403.83
PAY0000563,O0076829,UPI,20962.58
PAY0000564,O0063944,UPI,6508.7
PAY0000565,O0092054,NetBanking,17189.06
PAY0000566,O0046110,Unknown,9681.11
PAY0000567,O0027664,NetBanking,1599.92
PAY0000568,O0043282,Unknown,898.8
PAY0000569,O0046800,Unknown,6673.25
PAY0000570,O0032966,COD,23591.93
PAY0000571,O0033942,Card,14015.13
PAY0000572,O0079385,UPI,16850.04
PAY0000573,O0096955,NetBanking,17245.47
PAY0000574,O0091200,Unknown,21342.09
PAY0000575,O0014635,COD,2652.37
PAY0000576,O0093251,Card,16850.87
PAY0000577,O0075410,NetBanking,15329.76
PAY0000578,O0094181,UPI,22222.41
PAY0000579,O0034509,COD,19378.33
PAY0000580,O0094508,NetBanking,17618.53
PAY0000581,O0050069,Card,9726.29
PAY0000582,O0078873,Card,17598.25
PAY0000584,O0034317,Unknown,6542.11
PAY0000585,O0000329,UPI,14994.67
PAY0000586,O0054347,NetBanking,5268.93
PAY0000587,O0055002,Card,-54.16
PAY0000589,O0064103,Card,7108.68
PAY0000590,O0029922,Card,15036.75
PAY0000591,O0069062,Card,24141.9
PAY0000592,O0015105,Card,10417.61
PAY0000593,O0041737,UPI,11033.05
PAY0000594,O0063549,Unknown,17629.08
PAY0000595,O0076542,NetBanking,9111.26
PAY0000596,O0021972,Unknown,10712.74
PAY0000597,O0048238,UPI,21962.72
PAY0000598,O0009044,Card,2443.86
PAY0000599,O0056401,Unknown,10995.17
PAY0000600,O0018446,Card,19210.56
PAY0000601,O0006184,Card,5549.8
PAY0000602,O0096319,UPI,14527.59
PAY0000603,O0056634,UPI,17186.36
PAY0000604,O0025116,COD,4477.7
PAY0000605,O0027838,Card,6828.1
PAY0000606,O0041578,UPI,18312.17
PAY0000607,O0053812,UPI,22593.18
PAY0000608,O0037075,UPI,17711.18
PAY0000609,O0072107,NetBanking,13775.29
PAY0000610,O0073985,NetBanking,11938.07
PAY0000611,O0099306,Unknown,15087.09
PAY0000612,O0070980,Card,3224.87
PAY0000613,O0032980,Unknown,21563.46
PAY0000614,O0011937,Card,12736.83
PAY0000615,O0028229,Unknown,20528.81
PAY0000616,O0064848,UPI,6816.44
PAY0000617,O0086811,Unknown,16483.94
PAY0000618,O0039474,Card,13243.88
PAY0000619,O0089982,NetBanking,617.79
PAY0000620,O0021147,Unknown,12891.97
PAY0000621,O0048890,UPI,5404.61
PAY0000623,O0073740,COD,24202.48
PAY0000624,O0025219,COD,19088.04
PAY0000625,O0003948,NetBanking,13332.17
PAY0000626,O0082645,UPI,2832.89
PAY0000627,O0022155,COD,2565.11
PAY0000628,O0098062,UPI,4651.3
PAY0000629,O0046286,UPI,11188.26
PAY0000630,O0041631,Unknown,4156.03
PAY0000631,O0026805,NetBanking,19111.69
PAY0000632,O0031163,Card,16232.17
PAY0000633,O0007094,NetBanking,15862.34
PAY0000634,O0088182,UPI,413.01
PAY0000635,O0007338,UPI,16020.5
PAY0000636,O0045828,UPI,21791.41
PAY0000637,O0040854,UPI,199.63
PAY0000638,O0024105,COD,6198.85
PAY0000639,O0081130,UPI,21091.94
PAY0000640,O0003223,Card,18807.98
PAY0000641,O0096011,UPI,24647.25
PAY0000642,O0035307,Card,17435.87
PAY0000643,O0099565,COD,15238.8
PAY0000644,O0079151,NetBanking,3008.57
PAY0000645,O0011829,Card,8072.18
PAY0000646,O0064298,NetBanking,10195.09
PAY0000647,O0091317,UPI,6520.47
PAY0000648,O0039379,UPI,17593.07
PAY0000649,O0048726,Card,13679.29
PAY0000650,O0068690,NetBanking,22310.07
PAY0000651,O0082032,NetBanking,1278.93
PAY0000652,O0077899,NetBanking,20557.82
PAY0000653,O0085614,NetBanking,18515.54
PAY0000654,O0046600,Unknown,3677.4
PAY0000656,O0041074,COD,24152.71
PAY0000657,O0042068,NetBanking,3866.81
PAY0000658,O0092369,Card,850.44
PAY0000659,O0078132,NetBanking,24691.45
PAY0000660,O0010348,Unknown,3091.24
PAY0000661,O0086772,COD,3621.56
PAY0000662,O0026958,Unknown,11578.67
PAY0000663,O0099613,NetBanking,9226.16
PAY0000664,O0022178,UPI,18338.3
PAY0000665,O0019760,Card,12169.52
